SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O										
39.94100	0.21100	17.42300	0.00000	7.45000	1.41100	0.26100	34.96200	0.00900										
39.85800	0.13000	17.52200	0.00600	7.40500	1.42800	0.23900	34.84300	0.01200										
39.58000	0.20300	17.47600	0.00000	7.27000	1.34500	0.25100	34.57500	0.00000										
39.19900	0.25300	16.39500	0.01400	8.52200	1.27900	0.17800	34.53900	0.01100										
38.25200	1.85300	12.46800	0.01900	11.51900	1.07600	0.25300	34.20100	0.01100										
37.97800	1.25900	11.30200	0.04400	13.48200	1.07700	0.17800	33.81900	0.01300										
38.61900	0.39700	13.74600	0.02500	11.37400	1.07700	0.14400	34.06000	0.00600										
39.20200	0.23600	15.64900	0.00000	9.52400	1.25600	0.17700	34.26500	0.00000										
39.10500	0.23300	15.93500	0.00000	9.09300	1.33900	0.18000	34.42900	0.00000										
38.89200	0.44600	14.89700	0.00300	9.92600	1.21500	0.17000	34.29900	0.00300										
38.95700	0.41800	14.92500	0.00500	10.02000	1.18600	0.17600	34.36100	0.00000										
38.72500	0.88800	13.99600	0.00000	10.86300	1.14300	0.21800	34.28400	0.00000										
39.12000	0.38900	15.12400	0.00200	9.92400	1.14100	0.17600	34.72200	0.00000										
38.99400	0.83400	14.54400	0.00900	9.99300	1.14100	0.23400	34.55400	0.00100										
39.02600	0.59700	15.10300	0.00000	9.58900	1.19900	0.21600	34.57100	0.00000										
38.68300	0.78300	14.50300	0.00600	9.92200	1.18500	0.21400	34.16800	0.00000										
39.09300	0.29400	16.02700	0.00000	8.71300	1.25600	0.20900	34.33600	0.00200										
38.86900	0.77200	15.30600	0.01700	9.15500	1.26000	0.22400	34.33600	0.00000										
38.55500	0.79200	15.07400	0.00000	9.34000	1.25700	0.22700	34.13700	0.01000										
38.63300	0.86600	14.65100	0.02100	9.73900	1.15800	0.20900	34.21700	0.00000										
39.03900	0.45400	15.36100	0.04400	9.19000	1.18800	0.19300	34.41900	0.00300										
38.80600	0.48100	15.38000	0.00000	9.08100	1.15700	0.21100	34.14700	0.00800										
38.16000	1.36500	13.20500	0.02100	11.04000	1.14700	0.22900	33.79400	0.00000										
38.29500	0.99300	13.17500	0.01700	11.47500	1.16000	0.18400	33.95100	0.01000										
38.36100	0.86400	13.61200	0.00600	11.23700	1.10800	0.18600	34.01500	0.00000										
38.48600	0.53100	13.64200	0.00000	11.16900	1.07800	0.16500	34.14100	0.00000										
39.16600	0.33900	15.55100	0.00000	9.32700	1.20000	0.20200	34.26900	0.00000										
37.54500	1.63900	10.69100	0.02400	14.03800	0.96900	0.18300	33.93300	0.02100										
37.21100	1.51500	8.50600	0.01400	16.84200	0.84900	0.13400	33.77100	0.01100										
37.37400	0.61800	11.02500	0.01000	14.32400	0.92500	0.12500	33.62800	0.04400										
