SiO2  	TiO2  	Al2O3 	Cr2O3 	FeO   	MnO   	MgO   	CaO   	Na2O  	K2O   			
29.2800	0.0322	17.9400	0.0975	13.4300	0.2032	25.4100	0.0053	0.0068	0.0017			
29.5100	0.0127	17.7400	0.0847	13.0800	0.1714	25.9100	0.0141	0.0000	0.0003			
30.2400	0.0107	16.9200	0.1250	12.2700	0.1689	26.8200	0.0221	0.0000	0.0062			
30.3300	0.0127	17.0000	0.0893	12.0300	0.1629	27.1400	0.0211	0.0000	0.0033			
30.2900	0.0065	16.7300	0.1382	12.2600	0.1804	26.8100	0.0191	0.0000	0.0086			
30.1200	0.0178	17.1800	0.1000	12.4500	0.1734	26.6400	0.0279	0.0000	0.0025			
30.6600	0.0065	16.4200	0.1188	12.1200	0.1603	26.9600	0.0277	0.0038	0.0036			
29.7100	0.0413	17.5000	0.1773	12.9400	0.2128	25.9900	0.0272	0.0000	0.0074			
29.7300	0.0456	17.4100	0.1263	12.7400	0.1960	26.2300	0.0487	0.0028	0.0048			
29.2800	0.0458	17.8100	0.1598	13.7200	0.2066	25.2800	0.0182	0.0000	0.0049			
												
												
												
