SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	K2O	BaO	F	Cl
35.77284	0.09844	21.37279	17.10651	0.17390	11.17735	0.00265	0.33963	9.53896	-0.03304	0.48553	0.03326
35.82443	0.03961	21.17343	16.83897	0.14875	11.14718	-0.01037	0.26332	9.58323	-0.03337	0.43578	0.03249
36.08979	0.04242	21.27009	16.60024	0.17376	11.10923	0.00099	0.26129	9.56401	0.00540	0.42242	0.01738
35.83464	0.10100	21.22841	16.81525	0.16003	11.18283	0.00058	0.30276	9.61570	-0.01018	0.37497	0.02887
35.06691	3.79183	19.53349	20.38790	0.40088	7.60831	-0.00540	0.27665	9.43926	0.08110	0.19254	0.05010
35.06028	3.72521	19.54346	20.25959	0.33909	7.90677	-0.00597	0.30230	9.26213	0.14325	0.10296	0.04033
35.20431	3.65981	19.36912	20.24574	0.31765	7.84146	-0.00328	0.28898	9.58431	0.17390	0.14694	0.04528
35.28654	3.63587	19.40428	20.26654	0.30656	7.80462	-0.00672	0.29936	9.45813	0.09735	0.13780	0.05386
35.19284	3.64263	19.71320	19.90854	0.28959	7.75861	-0.01993	0.28162	9.65040	0.24301	0.15146	0.06876
35.16354	3.58142	19.41184	20.29969	0.31986	7.83594	0.01256	0.30135	9.42640	0.25052	0.13030	0.04245
35.12555	3.65433	19.52783	20.62523	0.31524	7.94999	0.00367	0.32993	9.47928	0.13546	0.18927	0.05239
35.03409	3.71042	19.44048	20.25779	0.36473	7.68756	-0.01026	0.27844	9.43055	-0.00254	0.19571	0.04740
35.15993	3.69421	19.39013	20.67771	0.38372	7.60954	-0.00560	0.28414	9.47331	0.15072	0.15676	0.05805
35.08561	3.60386	19.17008	20.33559	0.29957	7.87207	-0.00405	0.26235	9.57902	0.12019	0.16444	0.06447
35.35899	2.30322	20.30134	18.48768	0.14093	9.75016	-0.00931	0.32265	9.29340	0.11777	0.36264	0.02716
35.59858	2.50162	20.19965	18.54269	0.11325	9.75588	-0.00448	0.32426	9.33008	0.08777	0.34715	0.02942
35.71728	2.34453	20.36706	18.33883	0.14718	9.61570	-0.00643	0.33219	9.38534	0.14953	0.30513	0.03301
35.76014	2.34746	20.38856	18.04170	0.11658	9.56903	-0.01037	0.34523	9.37138	0.09535	0.31938	0.03441
35.42266	2.29991	20.12271	18.27443	0.12571	9.68655	-0.00060	0.30390	9.35572	0.23436	0.32519	0.03086
35.57394	2.44665	20.32489	18.40063	0.11773	9.52761	-0.00334	0.34642	9.50566	0.03375	0.32063	0.03727
35.81169	2.41595	20.43261	18.01712	0.09414	9.50909	0.00290	0.34885	9.51963	0.14965	0.32296	0.03444
35.82011	2.38288	20.35025	18.47575	0.18555	9.53663	-0.00643	0.32630	9.54657	0.15720	0.32413	0.03299
35.71026	2.41838	20.07489	18.54930	0.17188	9.43974	0.00133	0.14440	9.87575	0.08000	0.36314	0.05152
35.79511	2.30942	20.33355	18.08068	0.16643	9.30049	0.00290	0.30892	9.53417	0.15731	0.36254	0.03372
35.65443	2.35280	20.52702	18.17205	0.16471	9.64107	-0.01670	0.33761	9.42398	0.05778	0.27713	0.03543
35.95869	2.45439	20.57803	18.03094	0.21158	9.66468	-0.01654	0.34229	9.55418	0.08167	0.25963	0.04484
35.82347	2.57408	20.40543	18.03385	0.14264	9.67644	-0.01460	0.34693	9.54818	0.03536	0.23696	0.04054
35.92371	2.59911	20.48356	18.00634	0.17203	9.56666	-0.02665	0.34314	9.57065	-0.03410	0.29539	0.05270
35.84940	2.58838	20.45322	17.95825	0.15961	9.79455	-0.02082	0.30819	9.57247	0.04309	0.24413	0.03195
35.85699	2.44084	20.47130	18.15355	0.18233	9.63908	-0.02776	0.32151	9.37922	0.14364	0.28452	0.04274
35.44311	2.52537	20.15001	18.55289	0.16615	9.85806	-0.01188	0.26404	9.19336	0.02753	0.30531	0.03909
35.94524	2.70171	20.54328	17.98262	0.16752	9.64590	-0.01887	0.32908	9.55092	0.17427	0.25035	0.04340
35.48385	2.46668	20.15555	18.73848	0.17067	9.77353	-0.01457	0.23775	9.29581	0.09693	0.34066	0.04624
35.95887	2.56968	20.39103	18.02258	0.18463	9.66152	-0.01376	0.31650	9.48857	-0.00302	0.22811	0.02197
